Label,IPLength,IPHeaderLength,IPFlags,TTL,Protocol,IPID,IPchecksum,SourcePort,DestPort,SequenceNumber,AckNumber,WindowSize,TCPHeaderLength,TCPflags,TCPLength,TCPChecksum,TCPStream,TCPUrgentPointer
filtered_pcap\TCP_Assistant,86,20,0x02,64,6,0x0acb,0x5614,58224,443,1928,6186,1597,20,0x0018,46,0x166b,62,0
filtered_pcap\TCP_Assistant,85,20,0x02,64,6,0xdaa7,0xd540,55637,443,2766,2185,8202,32,0x0018,33,0xb605,5,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xdaa8,0xd560,55637,443,2799,2216,8202,32,0x0010,0,0xa2f6,5,0
filtered_pcap\TCP_Assistant,121,20,0x02,64,6,0x50bf,0x6e7d,43687,443,9428,9482,406,32,0x0018,69,0x0f08,28,0
filtered_pcap\TCP_Assistant,90,20,0x02,64,6,0x50c0,0x6e9b,43687,443,9497,9482,406,32,0x0018,38,0x41a3,28,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x50c1,0x6ec0,43687,443,9535,9598,406,32,0x0010,0,0x5820,28,0
filtered_pcap\TCP_Assistant,86,20,0x02,64,6,0x50c2,0x6e9d,43687,443,9535,9598,406,32,0x0018,34,0x13d7,28,0
filtered_pcap\TCP_Assistant,90,20,0x02,64,6,0x50c3,0x6e98,43687,443,9569,9598,406,32,0x0018,38,0x4727,28,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x606f,0xa5f8,56034,443,728,729,406,32,0x0010,0,0x1764,3,0
filtered_pcap\TCP_Assistant,121,20,0x02,64,6,0xd9e5,0xeca3,36902,443,9070,9165,406,32,0x0018,69,0x92d5,30,0
filtered_pcap\TCP_Assistant,90,20,0x02,64,6,0xd9e6,0xecc1,36902,443,9139,9165,406,32,0x0018,38,0xdd30,30,0
filtered_pcap\TCP_Assistant,86,20,0x02,64,6,0xd9e7,0xecc4,36902,443,9177,9260,406,32,0x0018,34,0x977d,30,0
filtered_pcap\TCP_Assistant,90,20,0x02,64,6,0xd9e8,0xecbf,36902,443,9211,9260,406,32,0x0018,38,0xb585,30,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xae91,0x4fed,36784,443,51,51,245,32,0x0010,0,0xee32,8,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x792d,0xa200,55240,443,51,51,406,32,0x0010,0,0xe131,10,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x5b5e,0xa1cf,45990,443,701,701,406,32,0x0010,0,0x73fa,1,0
filtered_pcap\TCP_Assistant,86,20,0x02,64,6,0x0acc,0x5613,58224,443,1974,6232,1597,20,0x0018,46,0x9705,62,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x50c4,0x6ebd,43687,443,9606,9598,406,32,0x0010,0,0x462e,28,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x6070,0xa5f7,56034,443,728,729,406,32,0x0010,0,0x55b8,3,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xd9e9,0xece4,36902,443,9248,9260,406,32,0x0010,0,0xfd1b,30,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xae92,0x4fec,36784,443,51,51,245,32,0x0010,0,0x2c52,8,0
filtered_pcap\TCP_Assistant,86,20,0x02,64,6,0x0acd,0x5612,58224,443,2020,6278,1597,20,0x0018,46,0x8454,62,0
filtered_pcap\TCP_Assistant,121,20,0x02,64,6,0x50c5,0x6e77,43687,443,9607,9598,406,32,0x0018,69,0x6f7a,28,0
filtered_pcap\TCP_Assistant,90,20,0x02,64,6,0x50c6,0x6e95,43687,443,9676,9598,406,32,0x0018,38,0x9bb2,28,0
filtered_pcap\TCP_Assistant,86,20,0x02,64,6,0x50c7,0x6e98,43687,443,9714,9693,406,32,0x0018,34,0xd85a,28,0
filtered_pcap\TCP_Assistant,90,20,0x02,64,6,0x50c8,0x6e93,43687,443,9748,9693,406,32,0x0018,38,0x7009,28,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x5b5f,0xa1ce,45990,443,701,701,406,32,0x0010,0,0xb228,1,0
filtered_pcap\TCP_Assistant,121,20,0x02,64,6,0xd9ea,0xec9e,36902,443,9249,9260,406,32,0x0018,69,0x1b3d,30,0
